,Title,Date_of_Release,Rating,Description
117,The Beach,2000,6.6,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it."
118,Amores Perros,2000,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
119,Traffic,2000,7.6,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
120,Remember the Titans,2000,7.8,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
121,How the Grinch Stole Christmas,2000,6.1,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town."
122,What Women Want,2000,6.4,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
123,Miss Congeniality,2000,6.2,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
124,Chocolat,2000,7.3,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.
125,Chicken Run,2000,7.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
126,Charlie's Angels,2000,5.5,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
127,The Emperor's New Groove,2000,7.4,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
128,Battle Royale,2000,7.7,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
129,Erin Brockovich,2000,7.3,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
130,High Fidelity,2000,7.5,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
131,Road Trip,2000,6.5,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.
132,The Perfect Storm,2000,6.4,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
133,"Dude, Where's My Car?",2000,5.5,Two potheads wake up after a night of partying and cannot remember where they parked their car.
134,Hollow Man,2000,5.7,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences."
135,Billy Elliot,2000,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
136,Scream 3,2000,5.6,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
137,Shanghai Noon,2000,6.6,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
138,The 6th Day,2000,5.9,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
139,What Lies Beneath,2000,6.6,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
140,Pay It Forward,2000,7.2,A young boy attempts to make the world a better place after his teacher gives him that chance.
141,In the Mood for Love,2000,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
142,The Whole Nine Yards,2000,6.7,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
143,Coyote Ugly,2000,5.7,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
144,Men of Honor,2000,7.2,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him."
145,The Family Man,2000,6.8,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
146,Frequency,2000,7.4,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
147,Gladiator,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
148,Memento,2000,8.5,A man with short-term memory loss attempts to track down his wife's murderer.
149,Snatch,2000,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
150,Requiem for a Dream,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
151,X-Men,2000,7.4,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
152,Cast Away,2000,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
153,American Psycho,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
154,Unbreakable,2000,7.3,A man learns something extraordinary about himself after a devastating accident.
155,Meet the Parents,2000,7.0,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
156,Mission: Impossible II,2000,6.1,"IMF Agent Ethan Hunt is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera""."
157,"O Brother, Where Art Thou?",2000,7.8,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
158,Gone in 60 Seconds,2000,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
159,"Crouching Tiger, Hidden Dragon",2000,7.9,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
160,The Patriot,2000,7.2,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
161,Almost Famous,2000,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
162,Scary Movie,2000,6.2,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
163,Pitch Black,2000,7.1,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur."
164,Final Destination,2000,6.7,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
165,"Me, Myself & Irene",2000,6.6,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.
166,The Beach,2000,6.6,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it."
167,Amores Perros,2000,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
168,Traffic,2000,7.6,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
169,Remember the Titans,2000,7.8,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
170,How the Grinch Stole Christmas,2000,6.1,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town."
171,What Women Want,2000,6.4,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
172,Miss Congeniality,2000,6.2,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
173,Chocolat,2000,7.3,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.
174,Chicken Run,2000,7.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
175,Charlie's Angels,2000,5.5,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
176,The Emperor's New Groove,2000,7.4,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
177,Battle Royale,2000,7.7,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
178,Erin Brockovich,2000,7.3,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
179,High Fidelity,2000,7.5,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
180,Road Trip,2000,6.5,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.
181,The Perfect Storm,2000,6.4,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
182,"Dude, Where's My Car?",2000,5.5,Two potheads wake up after a night of partying and cannot remember where they parked their car.
183,Hollow Man,2000,5.7,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences."
184,Billy Elliot,2000,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
185,Scream 3,2000,5.6,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
186,Shanghai Noon,2000,6.6,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
187,The 6th Day,2000,5.9,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
188,What Lies Beneath,2000,6.6,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
189,Pay It Forward,2000,7.2,A young boy attempts to make the world a better place after his teacher gives him that chance.
190,In the Mood for Love,2000,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
191,The Whole Nine Yards,2000,6.7,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
192,Coyote Ugly,2000,5.7,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
193,Men of Honor,2000,7.2,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him."
194,The Family Man,2000,6.8,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
195,Frequency,2000,7.4,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
196,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
197,A Beautiful Mind,2001,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
198,"Monsters, Inc.",2001,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
199,Donnie Darko,2001,8.1,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
200,Amélie,2001,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
201,Harry Potter and the Sorcerer's Stone,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
202,Shrek,2001,7.9,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
203,Spirited Away,2001,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
204,Ocean's Eleven,2001,7.8,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.
205,Training Day,2001,7.7,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the L.A.P.D. with a rogue detective who isn't what he appears to be."
206,Black Hawk Down,2001,7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.
207,The Fast and the Furious,2001,6.8,Los Angeles police officer Brian O'Connor must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
208,The Others,2001,7.6,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
209,Pearl Harbor,2001,6.1,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
210,Mulholland Drive,2001,8.0,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
